,Author,Date,Colour,Verification,Rating,Title,Desc
0,"['Amazon Customer', [...]]","['31 October 2018', [...]]","['Colour: Silver', 'Size: 256GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Amazon Return support is too poor', [...]]","[[""I purchased iphone X on 26th Oct'18 and started using from 28th Oct'18. When i received the product, it was already opened which i informed Amazon representative but i was told that it is original product and it will not have issue. Within two days, it started giving me issue with network & WiFi connectivity. I again contacted Amazon through app but i was directed to Apple support. After talking to Apple representative, i only got indefinite answer like it could be software issue and i should wait till it updates but Amazon return/replace policy valid for only 10 days. After purchasing a phone worth up to 90k, i had to do all this and still no support from Amazon.""]]"
1,"['ShowrobDa', [...]]","['12 October 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['An amazing deal at INR 69,999/-', [...]]","[['This is my 3rd iPhone after iPhone 4S and iPhone 6S Plus.', ""Being an utter working middle class guy, I don't switch my iPhones very often (my android phones barely lasted me 9 months though). I do consider them extremely expensive, and I wouldn't go for one, unless I felt it was worth the money I was paying for it."", 'Pros:', '- I got this phone for INR 69,999/- from Amazon. With exchange offer, it cost me a little over 60K. For the price (and that price only), this makes it worth the buy.', ""- It may not be the latest and greatest, but compared to iPhone XR, this is a much better package overall. Considering the XR is now priced higher than X. XS is only marginally better, and didn't feel it was worth the extra 30K."", '- Even after a year of being on the market, this phone is an absolute beast in terms of performance, especially after iOS 12.', ""- The Camera is a beauty. You can't compare with DSLRs, but it is right up there with OnePlus and Google phones."", ""- Looks exactly like the XS, and doesn't even have the S badging. So no one will be the wiser."", 'Cons:', '- The delivery was a bit of a hassle. I had opted for One Day Delivery, at my work address. The agent reached at 7:30 in the morning, when I was obviously not at work. He did say he will come later in the afternoon. However, received the phone a day later.', '- The phone is extremely slippery. Invest in a good case, front screen protector and a rear glass protector', '- Such expensive phones should come with 128GB of storage as base, instead of 64GB. If you record 4K videos, it will eat up your storage really quickly.', '- Videos get heavily cropped when watching in full screen mode. If you have the money, go for XS Max.', ""- The battery isn't the best. Takes over two hours to fully charge from 5% to 100% even with the iPad charger. With moderate usage, you can get 8 hours barely."", '- With the price of the phone, should have at least come with the fast charger in the box.']]"
2,"['Ktron', [...]]","['11 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Amazing beast(iPhone X 256 GB) for discount!!', [...]]","[['Thanks to Appario Retail Private Ltd, I got this 256 GB beast during amazon great Indian sale for under 80k. Additionally received cash back of Rs.1000. On delivery, I checked at imei24 and apple site  (checkcoverage) for authenticity and warranty of the product. I was satisfied as the product was 100% genuine.', 'iPhone is buttery smooth and the full screen is an awesome experience. Personally, I love the notch as it gives character to the phone. No matter how much you hate the design it seems this is quite an ""IN"" thing now for almost all phone manufacturers have started copying Apple. So all you detractors out there of Apple and the notch - take a chill pill :)!!', 'Pros:', '1) A11 Bionic Processor is blazing fast and coupled with 3GB ram you will never have any issues with any of the heavy duty tasks you throw at it', '2) Screen resolution (Super retina HD) and the contrast ratio makes the viewing experience breathtaking', '3) Got the A1865 model ( iPhone X A1865 uses the Qualcomm MDM9655 Snapdragon X16 LTE modem while the iPhone X A1901 has the Intel XMM 7480 modem) which is better than the A1901 model as A1865 covers more cellular bands (GSM and CDMA networks and frequencies) and the performance of Qualcomm’s chips has always been better than Intel’s. LTE speeds and cellular receptions in case of weak signals also are a shade better than A1901.', 'Cons:', '1) All glass body makes this susceptible to breakage. So recommend having a case around it (preferably a transparent one so that the beauty of the original phone can still be enjoyed!)', '2) I have to say that battery life is average - a shade better than iPhone 8.', '3) Additional touch id support would have been better as an alternative unlocking option', 'Will come up with a detailed review soon in a couple of weeks.']]"
3,"['Amazon Customer', [...]]","['2 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Battery charging is very bad in my new iPhone X', [...]]",[['I ordered new iPhone X grey on Amazon sale. Phone looks absolutely fine but battery is very weak though it has fast charging option my phone requires 4-5 hours to get charged completely n also my phone is very slow.. feels like I have got a refurbished phone. Guys plz never go for online when u r purchasing costly phones. I have done a mistake u think before doing.']]
4,"['Amritpal Singh', [...]]","['24 October 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","[""Shame don't buy"", [...]]","[['Apple iPhone X (Space Grey, 3GB RAM, 64GB Storage)', 'Poor quality product', 'Didn’t turn on at all after unboxing', 'SHAME and waste of money']]"
5,"['Abha Tiwari', [...]]","['8 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['The Best Device ! All i need is my Iphone.', [...]]","[[""What a pleasure to own iphonex. I bought it when it was launched. Checking today ...the price has dropped a 10K. Almost a year since my last upgrade. I do not compare phones. And I DO NOT compare them with Iphones. I think it is undeserving. Just saying. The camera is major on this one. The portrait mode is ace! I have the space grey in 64Gb and that's pretty much all the technical details I need. I'm one of those fortunate buyers who has the dough to spend on Apple products while residing in India so I don't really need to sit and debate with other people about why an X,Y,Z brand is better. I think Apple IS the best. Looks, functionality and everything. It does test the depth of your pockets and I think that's the only mark that there is and therefore it doesn't need comparing with other nondescript ones. I have never had any complains with any of my iphones in the past. This is my fourth upgrade. As a girl , it fulfils on the following categories - Good looks, Good looks & Good Looks. So grateful to Apple. So grateful to Amazon & so grateful to the seller. Thank you.""]]"
6,"['Prabhandh Reddy', [...]]","['27 October 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Bad product (BUT GOOD SERVICE FROM AMAZON)😊', [...]]","[['Got a defective phone .... phone receiver not working very often problem started on the next day of delivery .... have to restart the phone evry time....Have contacted apple support they suggested me some setting and resets.... but that helped only for 1day....evn after software update also same issue, receiver not working(cannot hear the other person on call)', 'I have gone through websites and i found thousands of people will defective speakers n receivers on their iphone x', 'AMAZON IS GIVING ME A REPLACEMENT FOR THE PHONE', 'THANK YOU AMAZON']]"
7,"['Deepak ', [...]]","['25 October 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Iphone was not in working condition', [...]]",[['I had a worst experience in purchasing Iphone X. Iphone never switched on after unboxing. After talking to amazon executive I had to submit phone to apple service centre. Amazon disnot even replaced my phone.']]
8,"['Amazon Customer', [...]]","['22 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['US adapter, not indian', [...]]",[['Comes with the wrong adapter. Otherwise a nice phone.']]
9,"['Jagadeesh v ', [...]]","['11 October 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['4.0 out of 5 stars', [...]]","['Heating, US model(without engraving at back)', [...]]","[[""Everybody's aware of specs and pros, cons on a brief level of IphoneX. Let me put this one on perspective."", 'Phone heats when charged and while using camera.', 'Looks good but very slippery recommend a case whilst purchasing.', 'As per most observations by critics, Silver looks better than grey.']]"
10,"['Priyanka negi ', [...]]","['15 January 2019', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['3.0 out of 5 stars', [...]]","['Not satisfied', [...]]",[['In this image something is at the back cover. The product i got nothing is written in that y is it so plz tell']]
11,"['S VISHNU VARDHAN REDDY', [...]]","['26 November 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Product is not working properly', [...]]",[['Facing lot of problems whithin 3 days it is not working and they replaced with another item unfortunately this also not working properly. Kindly help me to come out from of it']]
12,"['Dr P Kishore', [...]]","['16 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['1.0 out of 5 stars', [...]]","['Replacement of the defective item', [...]]",[['There is a pink linear line on the screen. Inspected by authorised service personnel and advised to replace the item.']]
13,"['SATYANARAYAN MISHRA', [...]]","['23 October 2018', [...]]","['Colour: Silver', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Iphone X 264gb at 71500... Steal Deal for an Iphone.', [...]]","[['The biggest con for me is its battery. Thats something I was always concious on Android S8, S7 Edge,All Oneplus devices till op6. On same usage IPhoneX comfortably saves me more than 20%. Thats a clincher for me. And I got this 256gb at effective price of 70k Approx. Thanks to Amazon.']]"
14,"['HateAmazon', [...]]","['28 October 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Looks nice and premium.', [...]]","[['Looks really nice and premium. Price is very high and one should wait for offer season to get it around effective price of 65k or bellow. For look and feel, i do not think any other mobile can come closer in current period.']]"
15,"['Avinash Baghel', [...]]","['12 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['iPhone like never before', [...]]","[['Amazing phone waited for a year and finally got this is Amazon Great Indian festival at unbelievable price.', 'Quality as always on top of all phones in market, cannot compare with any other phones.', 'Amazon delivery is awesome got in one day.', 'Many Many thanks to Amazon.']]"
